section id,recording id,timestamp [ns],gaze detected in reference image,gaze position in reference image x [px],gaze position in reference image y [px],fixation id
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039998821351,true,1843.325398241743,911.723525829929,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040002832351,true,1847.510226455773,910.202918952578,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040010866351,true,1843.2102631118953,921.1782950604209,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040014830351,true,1844.389901443536,928.2365920572872,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040019054351,true,1845.5658646987072,934.4705073757302,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040022845351,true,1843.7353297304269,941.6758346593837,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040030826351,true,1849.9119256707106,948.2065243690079,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040034853351,true,1854.7928209166635,952.5623917308548,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040038828351,true,1853.785080231792,952.9750493399556,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040042836351,true,1854.0613894907492,956.1442303989456,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040050834351,true,1854.1143274819894,953.0751378468184,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040054872351,true,1859.0357250050836,958.5671221942904,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040058824351,true,1862.9767102061048,961.2004527872624,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040063007351,true,1875.0631081791548,971.7345502830761,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040070850351,true,1890.4618695102467,977.5878886272488,318
